DateTime,Monthly Anamoly
1880-01-01,-5.194
1880-02-01,-1.0750000000000002
1880-03-01,4.2330000000000005
1880-04-01,9.538
1880-05-01,15.957
1880-06-01,19.006
1880-07-01,23.188
1880-08-01,23.873
1880-09-01,20.336
1880-10-01,13.736
1880-11-01,5.371
1880-12-01,-2.542
1881-01-01,-5.489
1881-02-01,-2.653
1881-03-01,1.3770000000000002
1881-04-01,9.717
1881-05-01,15.495
1881-06-01,19.905
1881-07-01,23.928
1881-08-01,24.547
1881-09-01,20.748
1881-10-01,13.501
1881-11-01,6.577
1881-12-01,-1.5659999999999998
1882-01-01,-2.0
1882-02-01,-1.194
1882-03-01,2.838
1882-04-01,10.3
1882-05-01,15.203
1882-06-01,19.247
1882-07-01,22.977
1882-08-01,23.396
1882-09-01,20.071
1882-10-01,14.548
1882-11-01,5.301
1882-12-01,-3.043
1883-01-01,-4.413
1883-02-01,-2.456
1883-03-01,2.496
1883-04-01,9.207
1883-05-01,14.569
1883-06-01,20.292
1883-07-01,23.91
1883-08-01,24.656
1883-09-01,19.163
1883-10-01,14.634
1883-11-01,4.807
1883-12-01,-1.7799999999999998
1884-01-01,-3.625
1884-02-01,-2.386
1884-03-01,2.351
1884-04-01,9.041
1884-05-01,14.386
1884-06-01,19.184
1884-07-01,22.338
1884-08-01,22.293
1884-09-01,20.271
1884-10-01,11.741
1884-11-01,3.672
1884-12-01,-3.875
1885-01-01,-4.55
1885-02-01,-3.273
1885-03-01,2.451
1885-04-01,8.785
1885-05-01,15.091
1885-06-01,19.203
1885-07-01,22.347
1885-08-01,24.297
1885-09-01,20.077
1885-10-01,13.886
1885-11-01,4.229
1885-12-01,-0.607
1886-01-01,-5.468
1886-02-01,-4.124
1886-03-01,3.532
1886-04-01,10.457
1886-05-01,15.525
1886-06-01,19.561
1886-07-01,23.738
1886-08-01,24.315
1886-09-01,19.74
1886-10-01,14.239
1886-11-01,6.316
1886-12-01,-0.869
1887-01-01,-4.607
1887-02-01,-1.419
1887-03-01,2.992
1887-04-01,9.948
1887-05-01,14.237
1887-06-01,18.653
1887-07-01,23.398
1887-08-01,24.659
1887-09-01,19.73
1887-10-01,14.287
1887-11-01,6.045
1887-12-01,-1.1749999999999998
1888-01-01,-3.557
1888-02-01,-4.746
1888-03-01,3.677
1888-04-01,9.319
1888-05-01,15.316
1888-06-01,18.69
1888-07-01,23.318
1888-08-01,25.031
1888-09-01,18.703
1888-10-01,12.085
1888-11-01,7.247
1888-12-01,1.044
1889-01-01,-6.332
1889-02-01,-2.459
1889-03-01,2.97
1889-04-01,9.176
1889-05-01,14.819
1889-06-01,20.009
1889-07-01,22.569
1889-08-01,24.432
1889-09-01,18.628
1889-10-01,12.558
1889-11-01,3.72
1889-12-01,-1.629
1890-01-01,-3.637
1890-02-01,0.906
1890-03-01,3.928
1890-04-01,10.098
1890-05-01,16.337
1890-06-01,20.26
1890-07-01,23.956
1890-08-01,24.436
1890-09-01,20.681
1890-10-01,13.063
1890-11-01,7.513
1890-12-01,1.605
1891-01-01,-4.943
1891-02-01,-1.214
1891-03-01,4.335
1891-04-01,9.307
1891-05-01,15.432
1891-06-01,19.186
1891-07-01,22.272
1891-08-01,22.781
1891-09-01,20.496
1891-10-01,14.476
1891-11-01,5.577999999999999
1891-12-01,-1.2959999999999998
1892-01-01,-5.378
1892-02-01,-3.104
1892-03-01,-0.1869999999999998
1892-04-01,9.433000000000002
1892-05-01,14.538
1892-06-01,19.576
1892-07-01,24.864
1892-08-01,24.172
1892-09-01,19.312
1892-10-01,12.519
1892-11-01,4.7509999999999994
1892-12-01,-3.349
1893-01-01,-6.191
1893-02-01,-4.554
1893-03-01,2.903
1893-04-01,9.512
1893-05-01,14.461
1893-06-01,18.91
1893-07-01,24.347
1893-08-01,24.274
1893-09-01,20.006
1893-10-01,12.51
1893-11-01,3.957
1893-12-01,-2.316
